time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,0,15,15,15,0,0,0,0,0,15
2,0,15,15,15,0,0,0,0,0,15
3,0,15,15,15,0,0,0,0,0,15
4,0,15,15,15,0,0,0,0,0,15
5,18,15,15,15,18,18,18,18,18,15
6,18,15,15,15,18,18,18,18,18,15
7,14,15,15,15,14,14,14,14,14,15
8,11,15,15,15,11,11,11,11,11,15
9,18,15,15,15,18,18,18,18,18,15
10,14,15,15,15,14,14,14,14,14,15
11,11,15,15,15,11,11,11,11,11,15
12,23,15,15,15,23,23,23,23,23,15
13,19,15,15,15,19,19,19,19,19,15
14,16,15,15,15,16,16,16,16,16,15
15,19,15,15,15,19,19,19,19,19,15
16,16,15,15,15,16,16,16,16,16,15
17,13,15,15,15,13,13,13,13,13,15
18,16,15,15,15,16,16,16,16,16,15
19,13,15,15,15,13,13,13,13,13,15
20,10,15,15,15,10,10,10,10,10,15
21,16,15,15,15,16,16,16,16,16,15
22,13,15,15,15,13,13,13,13,13,15
23,10,15,15,15,10,10,10,10,10,15
24,18,15,15,15,18,18,18,18,18,15
25,14,15,15,15,14,14,14,14,14,15
26,11,15,15,15,11,11,11,11,11,15
27,18,15,15,15,18,18,18,18,18,15
28,14,15,15,15,14,14,14,14,14,15
29,11,15,15,15,11,11,11,11,11,15
30,30,15,15,15,30,30,30,30,30,15
31,26,27,27,27,26,26,26,26,26,27
32,23,27,27,27,23,23,23,23,23,27
33,26,27,27,27,26,26,26,26,26,27
34,23,27,27,27,23,23,23,23,23,27
35,18,27,27,27,18,18,18,18,18,27
36,23,27,27,27,23,23,23,23,23,27
37,19,20,20,20,19,19,19,19,19,20
38,16,20,20,20,16,16,16,16,16,20
39,23,20,20,20,23,23,23,23,23,20
40,19,20,20,20,19,19,19,19,19,20
41,16,20,20,20,16,16,16,16,16,20
42,28,20,20,20,28,28,28,28,28,20
43,25,25,25,25,25,25,25,25,25,25
44,21,25,25,25,21,21,21,21,21,25
45,25,25,25,25,25,25,25,25,25,25
46,21,25,25,25,21,21,21,21,21,25
47,16,25,25,25,16,16,16,16,16,25
48,21,25,25,25,21,21,21,21,21,25
49,18,18,18,18,18,18,18,18,18,18
50,14,18,18,18,14,14,14,14,14,18
51,21,18,18,18,21,21,21,21,21,18
52,18,18,18,18,18,18,18,18,18,18
53,14,18,18,18,14,14,14,14,14,18
54,26,18,18,18,26,26,26,26,26,18
55,23,23,23,23,23,23,23,23,23,23
56,19,23,23,23,19,19,19,19,19,23
57,23,23,23,23,23,23,23,23,23,23
58,19,20,20,20,19,19,19,19,19,20
59,16,20,20,20,16,16,16,16,16,20
60,28,20,20,20,28,28,28,28,28,20
61,25,25,25,25,25,25,25,25,25,25
62,21,25,25,25,21,21,21,21,21,25
63,25,25,25,25,25,25,25,25,25,25
64,21,22,22,22,21,21,21,21,21,22
65,18,22,22,22,18,18,18,18,18,22
66,30,22,22,22,30,30,30,30,30,22
67,26,27,27,27,26,26,26,26,26,27
68,23,27,27,27,23,23,23,23,23,27
69,26,27,27,27,26,26,26,26,26,27
70,23,15,15,15,23,23,23,23,23,15
71,19,15,15,15,19,19,19,19,19,15
72,31,15,15,15,31,31,31,31,31,15
73,28,17,17,17,28,28,28,28,28,17
74,25,17,17,17,25,25,25,25,25,17
75,28,17,17,17,28,28,28,28,28,17
76,25,13,13,13,25,25,25,25,25,13
77,21,13,13,13,21,21,21,21,21,13
78,33,13,13,13,33,33,33,33,33,13
79,30,18,18,18,30,30,30,30,30,18
80,26,18,18,18,26,26,26,26,26,18
81,30,18,18,18,30,30,30,30,30,18
82,26,17,17,17,26,26,26,26,26,17
83,21,17,17,17,21,21,21,21,21,17
84,30,17,17,17,30,30,30,30,30,17
85,26,15,15,15,26,26,26,26,26,15
86,23,15,15,15,23,23,23,23,23,15
87,26,15,15,15,26,26,26,26,26,15
88,23,13,13,13,23,23,23,23,23,13
89,18,13,13,13,18,18,18,18,18,13
90,26,13,13,13,26,26,26,26,26,13
91,23,11,11,11,23,23,23,23,23,11
92,19,11,11,11,19,19,19,19,19,11
93,23,11,11,11,23,23,23,23,23,11
94,19,10,10,10,19,19,19,19,19,10
95,14,10,10,10,14,14,14,14,14,10
96,23,10,10,10,23,23,23,23,23,10
97,19,8,8,8,19,19,19,19,19,8
98,16,8,8,8,16,16,16,16,16,8
99,19,8,8,8,19,19,19,19,19,8
100,16,6,6,6,16,16,16,16,16,6
101,11,6,6,6,11,11,11,11,11,6
102,19,6,6,6,19,19,19,19,19,6
103,16,5,5,5,16,16,16,16,16,5
104,9,5,5,5,9,9,9,9,9,5
105,19,5,5,5,19,19,19,19,19,5
106,16,1,1,1,16,16,16,16,16,1
107,13,1,1,1,13,13,13,13,13,1
108,19,1,1,1,19,19,19,19,19,1
109,18,6,6,6,18,18,18,18,18,6
110,14,6,6,6,14,14,14,14,14,6
111,18,6,6,6,18,18,18,18,18,6
112,14,10,10,10,14,14,14,14,14,10
113,9,10,10,10,9,9,9,9,9,10
114,14,10,10,10,14,14,14,14,14,10
115,11,11,11,11,11,11,11,11,11,11
116,7,11,11,11,7,7,7,7,7,11
117,14,11,11,11,14,14,14,14,14,11
118,9,13,13,13,9,9,9,9,9,13
119,7,13,13,13,7,7,7,7,7,13
120,13,13,13,13,13,13,13,13,13,13
121,9,6,6,6,9,9,9,9,9,6
122,6,6,6,6,6,6,6,6,6,6
123,14,6,6,6,14,14,14,14,14,6
124,9,6,6,6,9,9,9,9,9,6
125,6,6,6,6,6,6,6,6,6,6
126,9,6,6,6,9,9,9,9,9,6
127,6,0,0,0,6,6,6,6,6,0
128,2,0,0,0,2,2,2,2,2,0
129,9,0,0,0,9,9,9,9,9,0
130,6,16,16,16,6,6,6,6,6,16
131,2,16,16,16,2,2,2,2,2,16
132,9,16,16,16,9,9,9,9,9,16
133,6,15,15,15,6,6,6,6,6,15
134,3,15,15,15,3,3,3,3,3,15
135,9,15,15,15,9,9,9,9,9,15
136,6,13,13,13,6,6,6,6,6,13
137,3,13,13,13,3,3,3,3,3,13
138,12,13,13,13,12,12,12,12,12,13
139,6,11,11,11,6,6,6,6,6,11
140,3,11,11,11,3,3,3,3,3,11
141,11,11,11,11,11,11,11,11,11,11
142,6,10,10,10,6,6,6,6,6,10
143,3,10,10,10,3,3,3,3,3,10
144,9,10,10,10,9,9,9,9,9,10
145,7,8,8,8,7,7,7,7,7,8
146,4,8,8,8,4,4,4,4,4,8
147,11,8,8,8,11,11,11,11,11,8
148,7,11,11,11,7,7,7,7,7,11
149,4,11,11,11,4,4,4,4,4,11
150,11,11,11,11,11,11,11,11,11,11
151,7,13,13,13,7,7,7,7,7,13
152,4,13,13,13,4,4,4,4,4,13
153,13,13,13,13,13,13,13,13,13,13
154,7,15,15,15,7,7,7,7,7,15
155,4,15,15,15,4,4,4,4,4,15
156,15,15,15,15,15,15,15,15,15,15
157,7,16,16,16,7,7,7,7,7,16
158,4,16,16,16,4,4,4,4,4,16
159,16,16,16,16,16,16,16,16,16,16
160,11,11,11,11,11,11,11,11,11,11
161,7,11,11,11,7,7,7,7,7,11
162,16,11,11,11,16,16,16,16,16,11
163,12,13,13,13,12,12,12,12,12,13
164,6,13,13,13,6,6,6,6,6,13
165,16,13,13,13,16,16,16,16,16,13
166,11,15,15,15,11,11,11,11,11,15
167,6,15,15,15,6,6,6,6,6,15
168,15,15,15,15,15,15,15,15,15,15
169,11,8,8,8,11,11,11,11,11,8
170,7,8,8,8,7,7,7,7,7,8
171,16,8,8,8,16,16,16,16,16,8
172,11,8,8,8,11,11,11,11,11,8
173,7,8,8,8,7,7,7,7,7,8
174,11,8,8,8,11,11,11,11,11,8
175,7,0,0,0,7,7,7,7,7,0
176,4,0,0,0,4,4,4,4,4,0
177,11,0,0,0,11,11,11,11,11,0
178,7,18,18,18,7,7,7,7,7,18
179,4,18,18,18,4,4,4,4,4,18
180,11,18,18,18,11,11,11,11,11,18
181,8,17,17,17,8,8,8,8,8,17
182,5,17,17,17,5,5,5,5,5,17
183,11,17,17,17,11,11,11,11,11,17
184,8,15,15,15,8,8,8,8,8,15
185,5,15,15,15,5,5,5,5,5,15
186,14,15,15,15,14,14,14,14,14,15
187,8,13,13,13,8,8,8,8,8,13
188,5,13,13,13,5,5,5,5,5,13
189,13,13,13,13,13,13,13,13,13,13
190,8,12,12,12,8,8,8,8,8,12
191,5,12,12,12,5,5,5,5,5,12
192,11,12,12,12,11,11,11,11,11,12
193,9,10,10,10,9,9,9,9,9,10
194,6,10,10,10,6,6,6,6,6,10
195,13,10,10,10,13,13,13,13,13,10
196,9,13,13,13,9,9,9,9,9,13
197,6,13,13,13,6,6,6,6,6,13
198,13,13,13,13,13,13,13,13,13,13
199,9,15,15,15,9,9,9,9,9,15
200,6,15,15,15,6,6,6,6,6,15
201,15,15,15,15,15,15,15,15,15,15
202,9,17,17,17,9,9,9,9,9,17
203,6,17,17,17,6,6,6,6,6,17
204,17,17,17,17,17,17,17,17,17,17
205,9,18,18,18,9,9,9,9,9,18
206,6,18,18,18,6,6,6,6,6,18
207,18,18,18,18,18,18,18,18,18,18
208,13,13,13,13,13,13,13,13,13,13
209,9,13,13,13,9,9,9,9,9,13
210,18,13,13,13,18,18,18,18,18,13
211,14,15,15,15,14,14,14,14,14,15
212,8,15,15,15,8,8,8,8,8,15
213,18,15,15,15,18,18,18,18,18,15
214,13,17,17,17,13,13,13,13,13,17
215,8,17,17,17,8,8,8,8,8,17
216,17,17,17,17,17,17,17,17,17,17
217,13,10,10,10,13,13,13,13,13,10
218,9,10,10,10,9,9,9,9,9,10
219,18,10,10,10,18,18,18,18,18,10
220,13,22,22,22,13,13,13,13,13,22
221,9,22,22,22,9,9,9,9,9,22
222,21,22,22,22,21,21,21,21,21,22
223,14,22,22,22,14,14,14,14,14,22
224,11,22,22,22,11,11,11,11,11,22
225,19,22,22,22,19,19,19,19,19,22
226,16,20,20,20,16,16,16,16,16,20
227,13,20,20,20,13,13,13,13,13,20
228,19,20,20,20,19,19,19,19,19,20
229,18,18,18,18,18,18,18,18,18,18
230,14,18,18,18,14,14,14,14,14,18
231,18,18,18,18,18,18,18,18,18,18
232,9,6,6,6,9,9,9,9,9,6
233,6,6,6,6,6,6,6,6,6,6
234,18,6,6,6,18,18,18,18,18,6
235,11,6,6,6,11,11,11,11,11,6
236,8,6,6,6,8,8,8,8,8,6
237,16,6,6,6,16,16,16,16,16,6
238,13,5,5,5,13,13,13,13,13,5
239,10,5,5,5,10,10,10,10,10,5
240,16,5,5,5,16,16,16,16,16,5
241,14,3,3,3,14,14,14,14,14,3
242,11,3,3,3,11,11,11,11,11,3
243,23,3,3,3,23,23,23,23,23,3
244,18,15,15,15,18,18,18,18,18,15
245,14,15,15,15,14,14,14,14,14,15
246,26,15,15,15,26,26,26,26,26,15
247,19,15,15,15,19,19,19,19,19,15
248,16,15,15,15,16,16,16,16,16,15
249,24,15,15,15,24,24,24,24,24,15
250,21,13,13,13,21,21,21,21,21,13
251,18,13,13,13,18,18,18,18,18,13
252,24,13,13,13,24,24,24,24,24,13
253,23,11,11,11,23,23,23,23,23,11
254,19,11,11,11,19,19,19,19,19,11
255,23,11,11,11,23,23,23,23,23,11
256,14,23,23,23,14,14,14,14,14,23
257,11,23,23,23,11,11,11,11,11,23
258,23,23,23,23,23,23,23,23,23,23
259,16,23,23,23,16,16,16,16,16,23
260,13,23,23,23,13,13,13,13,13,23
261,21,23,23,23,21,21,21,21,21,23
262,18,22,22,22,18,18,18,18,18,22
263,15,22,22,22,15,15,15,15,15,22
264,21,22,22,22,21,21,21,21,21,22
265,19,20,20,20,19,19,19,19,19,20
266,16,20,20,20,16,16,16,16,16,20
267,23,20,20,20,23,23,23,23,23,20
268,19,20,20,20,19,19,19,19,19,20
269,16,20,20,20,16,16,16,16,16,20
270,28,20,20,20,28,28,28,28,28,20
271,24,0,0,0,24,24,24,24,24,0
272,16,0,0,0,16,16,16,16,16,0
273,28,0,0,0,28,28,28,28,28,0
274,23,23,23,23,23,23,23,23,23,23
275,16,23,23,23,16,16,16,16,16,23
276,28,23,23,23,28,28,28,28,28,23
277,22,22,22,22,22,22,22,22,22,22
278,18,22,22,22,18,18,18,18,18,22
279,28,22,22,22,28,28,28,28,28,22
280,25,20,20,20,25,25,25,25,25,20
281,22,20,20,20,22,22,22,22,22,20
282,31,20,20,20,31,31,31,31,31,20
283,25,18,18,18,25,25,25,25,25,18
284,22,18,18,18,22,22,22,22,22,18
285,30,18,18,18,30,30,30,30,30,18
286,25,17,17,17,25,25,25,25,25,17
287,22,17,17,17,22,22,22,22,22,17
288,28,17,17,17,28,28,28,28,28,17
289,26,15,15,15,26,26,26,26,26,15
290,23,15,15,15,23,23,23,23,23,15
291,18,15,15,15,18,18,18,18,18,15
292,14,18,18,18,14,14,14,14,14,18
293,11,18,18,18,11,11,11,11,11,18
294,18,18,18,18,18,18,18,18,18,18
295,14,20,20,20,14,14,14,14,14,20
296,11,20,20,20,11,11,11,11,11,20
297,20,20,20,20,20,20,20,20,20,20
298,14,22,22,22,14,14,14,14,14,22
299,11,22,22,22,11,11,11,11,11,22
300,22,22,22,22,22,22,22,22,22,22
301,14,23,23,23,14,14,14,14,14,23
302,11,23,23,23,11,11,11,11,11,23
303,23,23,23,23,23,23,23,23,23,23
304,14,18,18,18,14,14,14,14,14,18
305,11,18,18,18,11,11,11,11,11,18
306,18,18,18,18,18,18,18,18,18,18
307,14,20,20,20,14,14,14,14,14,20
308,11,20,20,20,11,11,11,11,11,20
309,19,20,20,20,19,19,19,19,19,20
310,13,22,22,22,13,13,13,13,13,22
311,10,22,22,22,10,10,10,10,10,22
312,18,22,22,22,18,18,18,18,18,22
313,13,11,11,11,13,13,13,13,13,11
314,10,11,11,11,10,10,10,10,10,11
315,16,11,11,11,16,16,16,16,16,11
316,11,6,6,6,11,11,11,11,11,6
317,6,6,6,6,6,6,6,6,6,6
318,14,6,6,6,14,14,14,14,14,6
319,11,8,8,8,11,11,11,11,11,8
320,7,8,8,8,7,7,7,7,7,8
321,13,8,8,8,13,13,13,13,13,8
322,12,25,10,25,12,12,12,12,12,25
323,12,18,10,18,12,12,12,12,12,18
324,12,28,10,28,12,12,12,12,12,28
325,12,23,23,11,12,12,12,12,12,23
326,12,18,18,11,12,12,12,12,12,18
327,12,27,27,11,12,12,12,12,12,27
328,12,22,22,22,12,12,12,12,12,6
329,12,18,18,18,12,12,12,12,12,6
330,12,27,27,27,12,12,12,12,12,6
331,12,23,23,23,12,12,12,12,12,8
332,12,17,17,17,12,12,12,12,12,8
333,12,27,27,27,12,12,12,12,12,8
334,12,22,22,10,12,12,12,12,12,22
335,12,17,17,10,12,12,12,12,12,17
336,12,26,26,10,12,12,12,12,12,26
337,12,3,22,3,12,12,12,12,12,3
338,12,3,19,3,12,12,12,12,12,3
339,12,3,22,3,12,12,12,12,12,3
340,12,3,25,3,12,12,12,12,12,3
341,12,3,22,3,12,12,12,12,12,3
342,12,3,25,3,12,12,12,12,12,3
343,12,3,3,3,12,12,12,12,12,3
344,9,3,3,3,9,9,9,9,9,3
345,12,3,3,3,12,12,12,12,12,3
346,15,3,3,3,15,15,15,15,15,3
347,15,7,7,7,15,15,15,15,15,7
348,15,10,10,10,15,15,15,15,15,10
349,11,23,23,15,11,11,11,11,11,23
350,11,20,20,15,11,11,11,11,11,20
351,11,23,23,15,11,11,11,11,11,23
352,11,0,0,15,11,11,11,11,11,0
353,7,0,0,15,7,7,7,7,7,0
354,11,0,0,15,11,11,11,11,11,0
355,16,0,0,15,16,16,16,16,16,0
356,11,0,0,15,11,11,11,11,11,0
357,16,0,0,15,16,16,16,16,16,0
358,19,0,0,15,19,19,19,19,19,0
359,19,20,20,20,19,19,19,19,19,20
360,19,23,23,23,19,19,19,19,19,23
361,19,26,26,26,19,19,19,19,19,26
362,16,26,26,26,16,16,16,16,16,26
363,25,26,26,26,25,25,25,25,25,26
364,19,15,15,15,19,19,19,19,19,15
365,16,15,15,15,16,16,16,16,16,15
366,28,15,15,15,28,28,28,28,28,15
367,19,26,26,26,19,19,19,19,19,26
368,16,26,26,26,16,16,16,16,16,26
369,25,26,26,26,25,25,25,25,25,26
370,19,15,15,15,19,19,19,19,19,15
371,16,15,15,15,16,16,16,16,16,15
372,22,15,15,15,22,22,22,22,22,15
373,19,26,26,26,19,19,19,19,19,26
374,16,26,26,26,16,16,16,16,16,26
375,25,26,26,26,25,25,25,25,25,26
376,19,15,15,15,19,19,19,19,19,15
377,16,15,15,15,16,16,16,16,16,15
378,28,15,15,15,28,28,28,28,28,15
379,19,26,26,26,19,19,19,19,19,26
380,16,26,26,26,16,16,16,16,16,26
381,25,26,26,26,25,25,25,25,25,26
382,19,15,15,15,19,19,19,19,19,15
383,16,15,15,15,16,16,16,16,16,15
384,22,15,15,15,22,22,22,22,22,15
385,18,25,25,25,18,18,18,18,18,25
386,15,25,25,25,15,15,15,15,15,25
387,23,25,25,25,23,23,23,23,23,25
388,18,15,15,15,18,18,18,18,18,15
389,15,15,15,15,15,15,15,15,15,15
390,24,15,15,15,24,24,24,24,24,15
391,18,25,25,25,18,18,18,18,18,25
392,15,25,25,25,15,15,15,15,15,25
393,23,25,25,25,23,23,23,23,23,25
394,18,15,15,15,18,18,18,18,18,15
395,15,15,15,15,15,15,15,15,15,15
396,21,15,15,15,21,21,21,21,21,15
397,18,25,25,25,18,18,18,18,18,25
398,15,25,25,25,15,15,15,15,15,25
399,23,25,25,25,23,23,23,23,23,25
400,18,15,15,15,18,18,18,18,18,15
401,15,15,15,15,15,15,15,15,15,15
402,24,15,15,15,24,24,24,24,24,15
403,18,25,25,25,18,18,18,18,18,25
404,15,25,25,25,15,15,15,15,15,25
405,23,25,25,25,23,23,23,23,23,25
406,18,15,15,15,18,18,18,18,18,15
407,15,15,15,15,15,15,15,15,15,15
408,21,15,15,15,21,21,21,21,21,15
409,16,23,23,23,16,16,16,16,16,23
410,11,23,23,23,11,11,11,11,11,23
411,16,23,23,23,16,16,16,16,16,23
412,19,15,15,15,19,19,19,19,19,15
413,16,15,15,15,16,16,16,16,16,15
414,19,15,15,15,19,19,19,19,19,15
415,23,23,23,23,23,23,23,23,23,23
416,19,23,23,23,19,19,19,19,19,23
417,23,23,23,23,23,23,23,23,23,23
418,28,15,15,15,28,28,28,28,28,15
419,23,15,15,15,23,23,23,23,23,15
420,28,15,15,15,28,28,28,28,28,15
421,31,20,20,20,31,31,31,31,31,20
422,30,20,20,20,30,30,30,30,30,20
423,28,20,20,20,28,28,28,28,28,20
424,26,15,15,15,26,26,26,26,26,15
425,25,15,15,15,25,25,25,25,25,15
426,23,15,15,15,23,23,23,23,23,15
427,22,20,20,20,22,22,22,22,22,20
428,18,20,20,20,18,18,18,18,18,20
429,22,20,20,20,22,22,22,22,22,20
430,25,15,15,15,25,25,25,25,25,15
431,22,15,15,15,22,22,22,22,22,15
432,25,15,15,15,25,25,25,25,25,15
433,28,17,17,17,28,28,28,28,28,17
434,25,17,17,17,25,25,25,25,25,17
435,23,17,17,17,23,23,23,23,23,17
436,22,15,15,15,22,22,22,22,22,15
437,20,15,15,15,20,20,20,20,20,15
438,18,15,15,15,18,18,18,18,18,15
439,16,17,17,17,16,16,16,16,16,17
440,13,17,17,17,13,13,13,13,13,17
441,16,17,17,17,16,16,16,16,16,17
442,19,15,15,15,19,19,19,19,19,15
443,16,15,15,15,16,16,16,16,16,15
444,19,15,15,15,19,19,19,19,19,15
445,22,17,17,17,22,22,22,22,22,17
446,16,17,17,17,16,16,16,16,16,17
447,25,17,17,17,25,25,25,25,25,17
448,22,15,15,15,22,22,22,22,22,15
449,19,15,15,15,19,19,19,19,19,15
450,25,15,15,15,25,25,25,25,25,15
451,22,17,17,17,22,22,22,22,22,17
452,18,17,17,17,18,18,18,18,18,17
453,25,17,17,17,25,25,25,25,25,17
454,22,15,15,15,22,22,22,22,22,15
455,16,15,15,15,16,16,16,16,16,15
456,25,15,15,15,25,25,25,25,25,15
457,21,19,19,19,21,21,21,21,21,19
458,18,19,19,19,18,18,18,18,18,19
459,23,19,19,19,23,23,23,23,23,19
460,19,15,15,15,19,19,19,19,19,15
461,16,15,15,15,16,16,16,16,16,15
462,24,15,15,15,24,24,24,24,24,15
463,18,19,19,19,18,18,18,18,18,19
464,15,19,19,19,15,15,15,15,15,19
465,23,19,19,19,23,23,23,23,23,19
466,18,15,15,15,18,18,18,18,18,15
467,15,15,15,15,15,15,15,15,15,15
468,21,15,15,15,21,21,21,21,21,15
469,16,20,15,20,16,16,16,16,16,20
470,11,20,15,20,11,11,11,11,11,20
471,19,20,15,20,19,19,19,19,19,20
472,16,22,15,22,16,16,16,16,16,22
473,14,22,15,22,14,14,14,14,14,22
474,19,22,15,22,19,19,19,19,19,22
475,16,20,15,20,16,16,16,16,16,20
476,12,20,15,20,12,12,12,12,12,20
477,19,20,15,20,19,19,19,19,19,20
478,16,18,15,18,16,16,16,16,16,18
479,11,18,15,18,11,11,11,11,11,18
480,19,18,15,18,19,19,19,19,19,18
481,16,17,15,17,16,16,16,16,16,17
482,10,17,15,17,10,10,10,10,10,17
483,19,17,15,17,19,19,19,19,19,17
484,13,20,15,20,13,13,13,13,13,20
485,10,20,15,20,10,10,10,10,10,20
486,19,20,15,20,19,19,19,19,19,20
487,13,18,15,18,13,13,13,13,13,18
488,10,18,15,18,10,10,10,10,10,18
489,18,18,15,18,18,18,18,18,18,18
490,13,17,15,17,13,13,13,13,13,17
491,10,17,15,17,10,10,10,10,10,17
492,16,17,15,17,16,16,16,16,16,17
493,11,15,9,15,11,11,11,11,11,15
494,8,15,9,15,8,8,8,8,8,15
495,14,15,9,15,14,14,14,14,14,15
496,11,17,9,17,11,11,11,11,11,17
497,10,17,9,17,10,10,10,10,10,17
498,14,17,9,17,14,14,14,14,14,17
499,11,0,9,18,11,11,11,11,11,0
500,8,0,9,18,8,8,8,8,8,0
501,14,0,9,18,14,14,14,14,14,0
502,11,10,0,18,11,11,11,11,11,10
503,6,10,0,18,6,6,6,6,6,10
504,14,10,0,18,14,14,14,14,14,10
505,10,17,11,17,10,10,10,10,10,17
506,4,17,11,17,4,4,4,4,4,17
507,13,17,11,17,13,13,13,13,13,17
508,10,20,11,20,10,10,10,10,10,20
509,7,20,11,20,7,7,7,7,7,20
510,13,20,11,20,13,13,13,13,13,20
511,10,18,11,18,10,10,10,10,10,18
512,6,18,11,18,6,6,6,6,6,18
513,13,18,11,18,13,13,13,13,13,18
514,10,17,11,17,10,10,10,10,10,17
515,4,17,11,17,4,4,4,4,4,17
516,13,17,11,17,13,13,13,13,13,17
517,8,0,12,18,8,8,8,8,8,0
518,5,0,12,18,5,5,5,5,5,0
519,11,0,12,18,11,11,11,11,11,0
520,10,17,12,17,10,10,10,10,10,17
521,5,17,12,17,5,5,5,5,5,17
522,13,17,12,17,13,13,13,13,13,17
523,11,0,12,18,11,11,11,11,11,0
524,5,0,12,18,5,5,5,5,5,0
525,14,0,12,18,14,14,14,14,14,0
526,4,0,0,18,4,4,4,4,4,11
527,4,17,17,17,4,4,4,4,4,11
528,4,15,15,15,4,4,4,4,4,11
529,4,14,10,14,4,4,4,4,4,14
530,1,14,10,14,1,1,1,1,1,14
531,4,14,10,14,4,4,4,4,4,14
532,10,17,10,17,10,10,10,10,10,17
533,4,17,10,17,4,4,4,4,4,17
534,10,17,10,17,10,10,10,10,10,17
535,13,20,10,20,13,13,13,13,13,20
536,10,20,10,20,10,10,10,10,10,20
537,13,20,10,20,13,13,13,13,13,20
538,16,0,10,23,16,16,16,16,16,0
539,16,14,14,23,16,16,16,16,16,14
540,16,17,17,23,16,16,16,16,16,17
541,14,22,22,22,14,14,14,14,14,22
542,11,22,22,22,11,11,11,11,11,22
543,14,22,22,22,14,14,14,14,14,22
544,18,22,22,22,11,18,18,18,18,22
545,14,22,22,22,11,14,14,14,14,22
546,18,22,22,22,11,18,18,18,18,22
547,23,22,22,22,14,23,23,23,23,22
548,18,22,22,22,14,18,18,18,18,22
549,23,22,22,22,14,23,23,23,23,22
550,11,22,22,22,18,26,11,11,11,22
551,11,0,0,0,18,26,11,11,11,0
552,14,0,0,0,18,26,14,14,14,0
553,20,0,0,0,17,26,20,20,20,0
554,20,0,0,0,17,20,20,20,20,0
555,23,0,0,0,17,23,23,23,23,0
556,26,0,0,0,26,26,26,26,26,0
557,23,0,0,0,23,23,23,23,23,0
558,26,0,0,0,26,26,26,26,26,0
559,29,0,0,0,29,29,29,29,29,0
560,26,0,0,0,26,26,26,26,26,0
561,29,0,0,0,29,29,29,29,29,0
562,32,0,0,0,32,32,32,32,32,0
563,29,0,0,0,29,29,29,29,29,0
564,26,0,0,0,26,26,26,26,26,0
565,31,0,0,0,31,31,31,31,31,0
566,28,0,0,0,28,28,28,28,28,0
567,25,0,0,0,25,25,25,25,25,0
568,30,0,0,0,30,30,30,30,30,0
569,27,0,0,0,27,27,27,27,27,0
570,24,0,0,0,24,24,24,24,24,0
571,29,0,0,0,29,29,29,29,29,0
572,26,0,0,0,26,26,26,26,26,0
573,23,0,0,0,23,23,23,23,23,0
574,28,0,0,0,28,28,28,28,28,0
575,25,0,0,0,25,25,25,25,25,0
576,22,0,0,0,22,22,22,22,22,0
577,27,0,0,0,27,27,27,27,27,0
578,24,0,0,0,24,24,24,24,24,0
579,21,0,0,0,21,21,21,21,21,0
580,26,0,0,0,26,26,26,26,26,0
581,23,0,0,0,23,23,23,23,23,0
582,20,0,0,0,20,20,20,20,20,0
583,25,0,0,0,25,25,25,25,25,0
584,22,0,0,0,22,22,22,22,22,0
585,19,0,0,0,19,19,19,19,19,0
586,24,0,0,0,24,24,24,24,24,0
587,21,0,0,0,21,21,21,21,21,0
588,18,0,0,0,18,18,18,18,18,0
589,23,0,0,0,23,23,23,23,23,0
590,23,0,0,0,23,23,23,23,23,0
591,23,0,0,0,23,23,23,23,23,0
592,23,0,0,0,23,23,23,23,23,0
593,23,0,0,0,23,23,23,23,23,0
594,23,0,0,0,23,23,23,23,23,0
595,23,15,21,12,17,20,14,11,23,18
596,23,15,21,12,17,20,14,11,23,18
597,23,15,21,12,17,20,14,11,23,18
598,23,15,21,12,17,20,14,11,23,18
599,23,15,21,12,17,20,14,11,23,18
600,23,15,21,12,17,20,14,11,23,18
601,23,10,22,15,18,23,11,14,23,18
602,23,10,22,15,18,23,11,14,23,18
603,23,10,22,15,18,23,11,14,23,18
604,23,10,22,15,18,23,11,14,23,18
605,23,10,22,15,18,23,11,14,23,18
606,23,10,22,15,18,23,11,14,23,18
607,22,10,22,17,18,16,22,22,13,10
608,22,10,22,17,18,16,22,22,13,10
609,22,10,22,17,18,16,22,22,13,10
610,22,10,22,17,18,16,22,22,13,10
611,22,10,22,17,18,16,22,22,13,10
612,22,10,22,17,18,16,22,22,13,10
613,23,3,3,15,18,23,15,11,23,3
614,23,3,3,15,18,23,15,11,23,3
615,23,3,3,15,18,23,15,11,23,3
616,23,3,3,15,18,23,15,11,23,3
617,23,3,3,15,18,23,15,11,23,3
618,23,3,3,15,18,23,15,11,23,3
619,23,3,3,15,18,23,15,11,23,3
620,23,3,3,15,18,23,15,11,23,3
621,23,3,3,15,18,23,15,11,23,3
622,23,3,3,15,18,23,15,11,23,3
623,23,3,3,15,18,23,15,11,23,3
624,23,3,3,15,18,23,15,11,23,3
